kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
covariance_kernel1_cpu,261,0,1,1,168,0,0,0,0,1,1021000,
covariance_kernel2_cpu,131,0,1,1,168,0,0,0,0,1,1021000,
covariance_kernel1_gpu,1515,1,1,7977,128,24,0,24,0,1,1021000,
covariance_kernel2_gpu,1523,1,1,7977,128,24,0,24,0,1,1021000,
covariance_kernel1_gpu_mem,8467,1,1,7977,128,8168024,0,24,8168000,1,1021000,
covariance_kernel2_gpu_mem,13142,1,1,7977,128,16336040,0,24,16336016,1,1021000,
covariance_kernel1_cpu,4485,0,1,1,168,0,0,0,0,1,1022000,
covariance_kernel2_cpu,287,0,1,1,168,0,0,0,0,1,1022000,
covariance_kernel1_gpu,1514,1,1,7985,128,24,0,24,0,1,1022000,
covariance_kernel2_gpu,1520,1,1,7985,128,24,0,24,0,1,1022000,
covariance_kernel1_gpu_mem,8535,1,1,7985,128,8176024,0,24,8176000,1,1022000,
covariance_kernel2_gpu_mem,13085,1,1,7985,128,16352040,0,24,16352016,1,1022000,
covariance_kernel1_cpu,262,0,1,1,168,0,0,0,0,1,1023000,
covariance_kernel2_cpu,134,0,1,1,168,0,0,0,0,1,1023000,
covariance_kernel1_gpu,1523,1,1,7993,128,24,0,24,0,1,1023000,
covariance_kernel2_gpu,1520,1,1,7993,128,24,0,24,0,1,1023000,
covariance_kernel1_gpu_mem,8497,1,1,7993,128,8184024,0,24,8184000,1,1023000,
covariance_kernel2_gpu_mem,13177,1,1,7993,128,16368040,0,24,16368016,1,1023000,
covariance_kernel1_cpu,252,0,1,1,168,0,0,0,0,1,1024000,
covariance_kernel2_cpu,131,0,1,1,168,0,0,0,0,1,1024000,
covariance_kernel1_gpu,1523,1,1,8000,128,24,0,24,0,1,1024000,
covariance_kernel2_gpu,1531,1,1,8000,128,24,0,24,0,1,1024000,
covariance_kernel1_gpu_mem,8500,1,1,8000,128,8192024,0,24,8192000,1,1024000,
covariance_kernel2_gpu_mem,13173,1,1,8000,128,16384040,0,24,16384016,1,1024000,
covariance_kernel1_cpu,263,0,1,1,168,0,0,0,0,1,1025000,
covariance_kernel2_cpu,133,0,1,1,168,0,0,0,0,1,1025000,
covariance_kernel1_gpu,1521,1,1,8008,128,24,0,24,0,1,1025000,
covariance_kernel2_gpu,1526,1,1,8008,128,24,0,24,0,1,1025000,
covariance_kernel1_gpu_mem,8423,1,1,8008,128,8200024,0,24,8200000,1,1025000,
covariance_kernel2_gpu_mem,13115,1,1,8008,128,16400040,0,24,16400016,1,1025000,
covariance_kernel1_cpu,264,0,1,1,168,0,0,0,0,1,1026000,
covariance_kernel2_cpu,131,0,1,1,168,0,0,0,0,1,1026000,
covariance_kernel1_gpu,1521,1,1,8016,128,24,0,24,0,1,1026000,
covariance_kernel2_gpu,1530,1,1,8016,128,24,0,24,0,1,1026000,
covariance_kernel1_gpu_mem,8602,1,1,8016,128,8208024,0,24,8208000,1,1026000,
covariance_kernel2_gpu_mem,13101,1,1,8016,128,16416040,0,24,16416016,1,1026000,
covariance_kernel1_cpu,250,0,1,1,168,0,0,0,0,1,1027000,
covariance_kernel2_cpu,139,0,1,1,168,0,0,0,0,1,1027000,
covariance_kernel1_gpu,799,1,1,8024,128,24,0,24,0,1,1027000,
covariance_kernel2_gpu,791,1,1,8024,128,24,0,24,0,1,1027000,
covariance_kernel1_gpu_mem,7714,1,1,8024,128,8216024,0,24,8216000,1,1027000,
covariance_kernel2_gpu_mem,12445,1,1,8024,128,16432040,0,24,16432016,1,1027000,
covariance_kernel1_cpu,270,0,1,1,168,0,0,0,0,1,1028000,
covariance_kernel2_cpu,140,0,1,1,168,0,0,0,0,1,1028000,
covariance_kernel1_gpu,1525,1,1,8032,128,24,0,24,0,1,1028000,
covariance_kernel2_gpu,1531,1,1,8032,128,24,0,24,0,1,1028000,
covariance_kernel1_gpu_mem,8493,1,1,8032,128,8224024,0,24,8224000,1,1028000,
covariance_kernel2_gpu_mem,13207,1,1,8032,128,16448040,0,24,16448016,1,1028000,
covariance_kernel1_cpu,261,0,1,1,168,0,0,0,0,1,1029000,
covariance_kernel2_cpu,136,0,1,1,168,0,0,0,0,1,1029000,
covariance_kernel1_gpu,1524,1,1,8040,128,24,0,24,0,1,1029000,
covariance_kernel2_gpu,1539,1,1,8040,128,24,0,24,0,1,1029000,
covariance_kernel1_gpu_mem,8463,1,1,8040,128,8232024,0,24,8232000,1,1029000,
covariance_kernel2_gpu_mem,13274,1,1,8040,128,16464040,0,24,16464016,1,1029000,
covariance_kernel1_cpu,363,0,1,1,168,0,0,0,0,1,1030000,
covariance_kernel2_cpu,246,0,1,1,168,0,0,0,0,1,1030000,
