kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,,,
nn_kernel_cpu,67588,0,1,1,128,0,0,0,0,1,10340000,,,
nn_kernel_gpu,305,1,1,80782,128,0,0,0,0,1,10340000,,,
nn_kernel_gpu_mem,20969,1,1,80782,128,82720000,41360000,41360000,82720000,1,10340000,,,
nn_kernel_cpu,48139,0,1,1,128,0,0,0,0,1,10350000,,,
nn_kernel_gpu,307,1,1,80860,128,0,0,0,0,1,10350000,,,
nn_kernel_gpu_mem,20911,1,1,80860,128,82800000,41400000,41400000,82800000,1,10350000,,,
nn_kernel_cpu,66940,0,1,1,128,0,0,0,0,1,10360000,,,
nn_kernel_gpu,309,1,1,80938,128,0,0,0,0,1,10360000,,,
nn_kernel_gpu_mem,21014,1,1,80938,128,82880000,41440000,41440000,82880000,1,10360000,,,
nn_kernel_cpu,67380,0,1,1,128,0,0,0,0,1,10370000,,,
nn_kernel_gpu,307,1,1,81016,128,0,0,0,0,1,10370000,,,
nn_kernel_gpu_mem,20986,1,1,81016,128,82960000,41480000,41480000,82960000,1,10370000,,,
nn_kernel_cpu,67920,0,1,1,128,0,0,0,0,1,10380000,,,
nn_kernel_gpu,304,1,1,81094,128,0,0,0,0,1,10380000,,,
nn_kernel_gpu_mem,21082,1,1,81094,128,83040000,41520000,41520000,83040000,1,10380000,,,
nn_kernel_cpu,67753,0,1,1,128,0,0,0,0,1,10390000,,,
nn_kernel_gpu,305,1,1,81172,128,0,0,0,0,1,10390000,,,
nn_kernel_gpu_mem,21102,1,1,81172,128,83120000,41560000,41560000,83120000,1,10390000,,,
nn_kernel_cpu,67706,0,1,1,128,0,0,0,0,1,10400000,,,
nn_kernel_gpu,306,1,1,81250,128,0,0,0,0,1,10400000,,,
nn_kernel_gpu_mem,21158,1,1,81250,128,83200000,41600000,41600000,83200000,1,10400000,,,
nn_kernel_cpu,41470,0,1,1,128,0,0,0,0,1,1040000,,,
nn_kernel_gpu,148,1,1,8125,128,0,0,0,0,1,1040000,,,
nn_kernel_gpu_mem,3034,1,1,8125,128,8320000,4160000,4160000,8320000,1,1040000,,,
nn_kernel_cpu,69857,0,1,1,128,0,0,0,0,1,10410000,,,
nn_kernel_gpu,312,1,1,81329,128,0,0,0,0,1,10410000,,,
nn_kernel_gpu_mem,21097,1,1,81329,128,83280000,41640000,41640000,83280000,1,10410000,,,
nn_kernel_cpu,68472,0,1,1,128,0,0,0,0,1,10420000,,,
nn_kernel_gpu,306,1,1,81407,128,0,0,0,0,1,10420000,,,
nn_kernel_gpu_mem,21196,1,1,81407,128,83360000,41680000,41680000,83360000,1,10420000,,,
nn_kernel_cpu,67485,0,1,1,128,0,0,0,0,1,10430000,,,
nn_kernel_gpu,309,1,1,81485,128,0,0,0,0,1,10430000,,,
nn_kernel_gpu_mem,21198,1,1,81485,128,83440000,41720000,41720000,83440000,1,10430000,,,
nn_kernel_cpu,67014,0,1,1,128,0,0,0,0,1,10440000,,,
nn_kernel_gpu,307,1,1,81563,128,0,0,0,0,1,10440000,,,
nn_kernel_gpu_mem,21202,1,1,81563,128,83520000,41760000,41760000,83520000,1,10440000,,,
