kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2
transpose_kernel_cpu_collapse,146,0,2,1,48,0,0,0,0,2,100,2600
transpose_kernel_gpu_mem,17169,1,1,11,256,2080008,2080000,2080008,2080000,2,100,2600
transpose_kernel_gpu_collapse_mem,8148,1,2,240,256,2080008,2080000,2080008,2080000,2,100,2600
transpose_kernel_gpu,523,1,1,11,256,8,0,8,0,2,100,2600
transpose_kernel_gpu_collapse,3971,1,2,240,256,8,0,8,0,2,100,2600
0
transpose_kernel_cpu,8362,0,1,1,48,0,0,0,0,2,100,2700
transpose_kernel_cpu_collapse,8135,0,2,1,48,0,0,0,0,2,100,2700
transpose_kernel_gpu_mem,7623,1,1,11,256,2160008,2160000,2160008,2160000,2,100,2700
transpose_kernel_gpu_collapse_mem,1598,1,2,240,256,2160008,2160000,2160008,2160000,2,100,2700
transpose_kernel_gpu,506,1,1,11,256,8,0,8,0,2,100,2700
transpose_kernel_gpu_collapse,454,1,2,240,256,8,0,8,0,2,100,2700

transpose_kernel_cpu,15960,0,1,1,48,0,0,0,0,2,100,2800
transpose_kernel_cpu_collapse,186,0,2,1,48,0,0,0,0,2,100,2800
transpose_kernel_gpu_mem,21255,1,1,11,256,2240008,2240000,2240008,2240000,2,100,2800
transpose_kernel_gpu_collapse_mem,4573,1,2,240,256,2240008,2240000,2240008,2240000,2,100,2800
transpose_kernel_gpu,599,1,1,11,256,8,0,8,0,2,100,2800
transpose_kernel_gpu_collapse,1130,1,2,240,256,8,0,8,0,2,100,2800
transpose_kernel_cpu,14140,0,1,1,48,0,0,0,0,2,100,2900
transpose_kernel_cpu_collapse,297,0,2,1,48,0,0,0,0,2,100,2900
transpose_kernel_gpu_mem,21322,1,1,12,256,2320008,2320000,2320008,2320000,2,100,2900
transpose_kernel_gpu_collapse_mem,4656,1,2,240,256,2320008,2320000,2320008,2320000,2,100,2900
transpose_kernel_gpu,641,1,1,12,256,8,0,8,0,2,100,2900
transpose_kernel_gpu_collapse,1129,1,2,240,256,8,0,8,0,2,100,2900

transpose_kernel_cpu,4059,0,1,1,48,0,0,0,0,2,100,3000
transpose_kernel_cpu_collapse,151,0,2,1,48,0,0,0,0,2,100,3000
transpose_kernel_gpu_mem,21219,1,1,12,256,2400008,2400000,2400008,2400000,2,100,3000
transpose_kernel_gpu_collapse_mem,10690,1,2,240,256,2400008,2400000,2400008,2400000,2,100,3000
transpose_kernel_gpu,1121,1,1,12,256,8,0,8,0,2,100,3000
transpose_kernel_gpu_collapse,495,1,2,240,256,8,0,8,0,2,100,3000
transpose_kernel_cpu,491,0,1,1,48,0,0,0,0,2,100,300
transpose_kernel_cpu_collapse,887,0,2,1,48,0,0,0,0,2,100,300
transpose_kernel_gpu_mem,1994,1,1,2,256,240008,240000,240008,240000,2,100,300
transpose_kernel_gpu_collapse_mem,952,1,2,118,256,240008,240000,240008,240000,2,100,300
transpose_kernel_gpu,513,1,1,2,256,8,0,8,0,2,100,300
transpose_kernel_gpu_collapse,467,1,2,118,256,8,0,8,0,2,100,300
0

transpose_kernel_cpu,4167,0,1,1,48,0,0,0,0,2,100,3100
transpose_kernel_cpu_collapse,227,0,2,1,48,0,0,0,0,2,100,3100
transpose_kernel_gpu_mem,26601,1,1,13,256,2480008,2480000,2480008,2480000,2,100,3100
transpose_kernel_gpu_collapse_mem,7985,1,2,240,256,2480008,2480000,2480008,2480000,2,100,3100
transpose_kernel_gpu,526,1,1,13,256,8,0,8,0,2,100,3100
transpose_kernel_gpu_collapse,500,1,2,240,256,8,0,8,0,2,100,3100


0
transpose_kernel_cpu,344,0,1,1,48,0,0,0,0,2,100,3200
transpose_kernel_cpu_collapse,226,0,2,1,48,0,0,0,0,2,100,3200
transpose_kernel_gpu_mem,14588,1,1,13,256,2560008,2560000,2560008,2560000,2,100,3200
transpose_kernel_gpu_collapse_mem,2393,1,2,240,256,2560008,2560000,2560008,2560000,2,100,3200
transpose_kernel_gpu,516,1,1,13,256,8,0,8,0,2,100,3200
transpose_kernel_gpu_collapse,476,1,2,240,256,8,0,8,0,2,100,3200
0
0
transpose_kernel_cpu,5904,0,1,1,48,0,0,0,0,2,100,3300
transpose_kernel_cpu_collapse,131,0,2,1,48,0,0,0,0,2,100,3300
transpose_kernel_gpu_mem,27574,1,1,13,256,2640008,2640000,2640008,2640000,2,100,3300
transpose_kernel_gpu_collapse_mem,16108,1,2,240,256,2640008,2640000,2640008,2640000,2,100,3300
transpose_kernel_gpu,639,1,1,13,256,8,0,8,0,2,100,3300
transpose_kernel_gpu_collapse,1101,1,2,240,256,8,0,8,0,2,100,3300
transpose_kernel_cpu,9058,0,1,1,48,0,0,0,0,2,100,3400
transpose_kernel_cpu_collapse,733,0,2,1,48,0,0,0,0,2,100,3400
transpose_kernel_gpu_mem,18965,1,1,14,256,2720008,2720000,2720008,2720000,2,100,3400
transpose_kernel_gpu_collapse_mem,1950,1,2,240,256,2720008,2720000,2720008,2720000,2,100,3400
transpose_kernel_gpu,505,1,1,14,256,8,0,8,0,2,100,3400
transpose_kernel_gpu_collapse,458,1,2,240,256,8,0,8,0,2,100,3400

0
transpose_kernel_cpu,8220,0,1,1,48,0,0,0,0,2,100,3500
transpose_kernel_cpu_collapse,16177,0,2,1,48,0,0,0,0,2,100,3500
