kernel,runtime,gpu,collapse,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_gpu_mem,3373350,1,1,144000000,64000000,64000000,208000000,3,1000,2000,8000
mm_kernel_gpu_mem,150231,1,2,144000000,64000000,64000000,208000000,3,1000,2000,8000
mm_kernel_gpu,3316705,1,1,0,0,0,0,3,1000,2000,8000
mm_kernel_gpu_collapse,137193,1,2,0,0,0,0,3,1000,2000,8000
mm_kernel_cpu,1618023,0,1,0,0,0,0,3,1000,2000,8000
mm_kernel_cpu_collapse,1447634,0,2,0,0,0,0,3,1000,2000,8000
mm_kernel_gpu_mem,3373350,1,1,144000000,64000000,64000000,208000000,3,1000,2000,8000
mm_kernel_gpu_mem,150231,1,2,144000000,64000000,64000000,208000000,3,1000,2000,8000
mm_kernel_gpu,3316705,1,1,0,0,0,0,3,1000,2000,8000
mm_kernel_gpu_collapse,137193,1,2,0,0,0,0,3,1000,2000,8000
mm_kernel_cpu,192353,0,1,0,0,0,0,3,1000,3000,1000
mm_kernel_cpu_collapse,150941,0,2,0,0,0,0,3,1000,3000,1000
mm_kernel_gpu_mem,620526,1,1,48000000,8000000,8000000,56000000,3,1000,3000,1000
mm_kernel_gpu_mem,12176,1,2,48000000,8000000,8000000,56000000,3,1000,3000,1000
mm_kernel_gpu,606861,1,1,0,0,0,0,3,1000,3000,1000
mm_kernel_gpu_collapse,7169,1,2,0,0,0,0,3,1000,3000,1000
mm_kernel_cpu,1866081,0,1,0,0,0,0,3,1000,2000,9000
mm_kernel_cpu_collapse,1709701,0,2,0,0,0,0,3,1000,2000,9000
mm_kernel_gpu_mem,3800736,1,1,160000000,72000000,72000000,232000000,3,1000,2000,9000
mm_kernel_gpu_mem,168841,1,2,160000000,72000000,72000000,232000000,3,1000,2000,9000
mm_kernel_gpu,3724708,1,1,0,0,0,0,3,1000,2000,9000
mm_kernel_gpu_collapse,154290,1,2,0,0,0,0,3,1000,2000,9000
mm_kernel_cpu,369135,0,1,0,0,0,0,3,1000,3000,2000
mm_kernel_cpu_collapse,299333,0,2,0,0,0,0,3,1000,3000,2000
mm_kernel_gpu_mem,1252421,1,1,72000000,16000000,16000000,88000000,3,1000,3000,2000
mm_kernel_gpu_mem,42784,1,2,72000000,16000000,16000000,88000000,3,1000,3000,2000
mm_kernel_gpu,1232745,1,1,0,0,0,0,3,1000,3000,2000
mm_kernel_gpu_collapse,36414,1,2,0,0,0,0,3,1000,3000,2000
mm_kernel_cpu,369135,0,1,0,0,0,0,3,1000,3000,2000
mm_kernel_cpu_collapse,299333,0,2,0,0,0,0,3,1000,3000,2000
mm_kernel_gpu_mem,1252421,1,1,72000000,16000000,16000000,88000000,3,1000,3000,2000
mm_kernel_gpu_mem,42784,1,2,72000000,16000000,16000000,88000000,3,1000,3000,2000
mm_kernel_gpu,1232745,1,1,0,0,0,0,3,1000,3000,2000
mm_kernel_gpu_collapse,36414,1,2,0,0,0,0,3,1000,3000,2000
mm_kernel_cpu,557554,0,1,0,0,0,0,3,1000,3000,3000
mm_kernel_cpu_collapse,539341,0,2,0,0,0,0,3,1000,3000,3000
mm_kernel_gpu_mem,1851914,1,1,96000000,24000000,24000000,120000000,3,1000,3000,3000
mm_kernel_gpu_mem,70845,1,2,96000000,24000000,24000000,120000000,3,1000,3000,3000
mm_kernel_gpu,1826123,1,1,0,0,0,0,3,1000,3000,3000
mm_kernel_gpu_collapse,61699,1,2,0,0,0,0,3,1000,3000,3000
mm_kernel_cpu,766541,0,1,0,0,0,0,3,1000,3000,4000
mm_kernel_cpu_collapse,745880,0,2,0,0,0,0,3,1000,3000,4000
mm_kernel_gpu_mem,2503340,1,1,120000000,32000000,32000000,152000000,3,1000,3000,4000
mm_kernel_gpu_mem,106587,1,2,120000000,32000000,32000000,152000000,3,1000,3000,4000
mm_kernel_gpu,2475739,1,1,0,0,0,0,3,1000,3000,4000
mm_kernel_gpu_collapse,94031,1,2,0,0,0,0,3,1000,3000,4000
mm_kernel_cpu,1034116,0,1,0,0,0,0,3,1000,3000,5000
mm_kernel_cpu_collapse,928288,0,2,0,0,0,0,3,1000,3000,5000
mm_kernel_gpu_mem,3169380,1,1,144000000,40000000,40000000,184000000,3,1000,3000,5000
mm_kernel_gpu_mem,132922,1,2,144000000,40000000,40000000,184000000,3,1000,3000,5000
mm_kernel_gpu,3109664,1,1,0,0,0,0,3,1000,3000,5000
mm_kernel_gpu_collapse,118639,1,2,0,0,0,0,3,1000,3000,5000
mm_kernel_cpu,1034116,0,1,0,0,0,0,3,1000,3000,5000
mm_kernel_cpu_collapse,928288,0,2,0,0,0,0,3,1000,3000,5000
mm_kernel_gpu_mem,3169380,1,1,144000000,40000000,40000000,184000000,3,1000,3000,5000
mm_kernel_gpu_mem,132922,1,2,144000000,40000000,40000000,184000000,3,1000,3000,5000
mm_kernel_gpu,3109664,1,1,0,0,0,0,3,1000,3000,5000
mm_kernel_gpu_collapse,118639,1,2,0,0,0,0,3,1000,3000,5000
mm_kernel_cpu,3097780,0,1,0,0,0,0,3,1000,3000,10000
mm_kernel_cpu_collapse,2913892,0,2,0,0,0,0,3,1000,3000,10000
mm_kernel_gpu_mem,6272625,1,1,264000000,80000000,80000000,344000000,3,1000,3000,10000
mm_kernel_gpu_mem,284182,1,2,264000000,80000000,80000000,344000000,3,1000,3000,10000
mm_kernel_gpu,6193198,1,1,0,0,0,0,3,1000,3000,10000
mm_kernel_gpu_collapse,259606,1,2,0,0,0,0,3,1000,3000,10000
mm_kernel_cpu,1635435,0,1,0,0,0,0,3,1000,3000,6000
mm_kernel_cpu_collapse,1841754,0,2,0,0,0,0,3,1000,3000,6000
mm_kernel_gpu_mem,3699039,1,1,168000000,48000000,48000000,216000000,3,1000,3000,6000
mm_kernel_gpu_mem,164047,1,2,168000000,48000000,48000000,216000000,3,1000,3000,6000
mm_kernel_gpu,3667499,1,1,0,0,0,0,3,1000,3000,6000
mm_kernel_gpu_collapse,149624,1,2,0,0,0,0,3,1000,3000,6000
mm_kernel_cpu,1858808,0,1,0,0,0,0,3,1000,3000,7000
mm_kernel_cpu_collapse,1701783,0,2,0,0,0,0,3,1000,3000,7000
mm_kernel_gpu_mem,4385953,1,1,192000000,56000000,56000000,248000000,3,1000,3000,7000
mm_kernel_gpu_mem,191607,1,2,192000000,56000000,56000000,248000000,3,1000,3000,7000
mm_kernel_gpu,4339667,1,1,0,0,0,0,3,1000,3000,7000
mm_kernel_gpu_collapse,176439,1,2,0,0,0,0,3,1000,3000,7000
mm_kernel_cpu,250005,0,1,0,0,0,0,3,1000,4000,1000
mm_kernel_cpu_collapse,169641,0,2,0,0,0,0,3,1000,4000,1000
