kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_gpu_mem,2918156,1,2,468750,128,128000000,480000000,480000000,608000000,3,10000,1000,6000
mm_kernel_gpu,14398006,1,1,79,128,0,0,0,0,3,10000,1000,6000
mm_kernel_gpu_collapse,2800203,1,2,468750,128,0,0,0,0,3,10000,1000,6000
mm_kernel_cpu,3627638,0,1,1,28,0,0,0,0,3,10000,1000,7000
mm_kernel_cpu_collapse,3483728,0,2,1,28,0,0,0,0,3,10000,1000,7000
mm_kernel_gpu_mem,17091814,1,1,79,128,136000000,560000000,560000000,696000000,3,10000,1000,7000
mm_kernel_gpu_mem,3631139,1,2,546875,128,136000000,560000000,560000000,696000000,3,10000,1000,7000
mm_kernel_gpu,16796615,1,1,79,128,0,0,0,0,3,10000,1000,7000
mm_kernel_gpu_collapse,3461696,1,2,546875,128,0,0,0,0,3,10000,1000,7000
mm_kernel_cpu,8240492,0,1,1,28,0,0,0,0,3,10000,1000,8000
mm_kernel_cpu_collapse,8194702,0,2,1,28,0,0,0,0,3,10000,1000,8000
mm_kernel_gpu_mem,19489493,1,1,79,128,144000000,640000000,640000000,784000000,3,10000,1000,8000
mm_kernel_gpu_mem,3894693,1,2,625000,128,144000000,640000000,640000000,784000000,3,10000,1000,8000
mm_kernel_gpu,19206891,1,1,79,128,0,0,0,0,3,10000,1000,8000
mm_kernel_gpu_collapse,3744777,1,2,625000,128,0,0,0,0,3,10000,1000,8000
mm_kernel_cpu,4595275,0,1,1,28,0,0,0,0,3,10000,1000,9000
mm_kernel_cpu_collapse,4482004,0,2,1,28,0,0,0,0,3,10000,1000,9000
mm_kernel_gpu_mem,21940687,1,1,79,128,152000000,720000000,720000000,872000000,3,10000,1000,9000
mm_kernel_gpu_mem,4649308,1,2,703125,128,152000000,720000000,720000000,872000000,3,10000,1000,9000
mm_kernel_gpu,21617279,1,1,79,128,0,0,0,0,3,10000,1000,9000
mm_kernel_gpu_collapse,4472261,1,2,703125,128,0,0,0,0,3,10000,1000,9000
mm_kernel_cpu,13509010,0,1,1,28,0,0,0,0,3,10000,2000,10000
mm_kernel_cpu_collapse,13244051,0,2,1,28,0,0,0,0,3,10000,2000,10000
mm_kernel_gpu_mem,48628446,1,1,79,128,320000000,800000000,800000000,1120000000,3,10000,2000,10000
mm_kernel_gpu_mem,9510245,1,2,781250,128,320000000,800000000,800000000,1120000000,3,10000,2000,10000
mm_kernel_gpu,48274339,1,1,79,128,0,0,0,0,3,10000,2000,10000
mm_kernel_gpu_collapse,9313312,1,2,781250,128,0,0,0,0,3,10000,2000,10000
mm_kernel_cpu,1137106,0,1,1,28,0,0,0,0,3,10000,2000,1000
mm_kernel_cpu_collapse,967955,0,2,1,28,0,0,0,0,3,10000,2000,1000
