kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_cpu,829825,0,1,1,64,0,0,0,0,3,10000,3000,1000
mm_kernel_cpu_collapse,625329,0,2,1,64,0,0,0,0,3,10000,3000,1000
mm_kernel_gpu_mem,905348,1,1,79,128,264000000,80000000,80000000,344000000,3,10000,3000,1000
mm_kernel_gpu_mem,151938,1,2,78125,128,264000000,80000000,80000000,344000000,3,10000,3000,1000
mm_kernel_gpu,862770,1,1,79,128,0,0,0,0,3,10000,3000,1000
mm_kernel_gpu_collapse,102260,1,2,78125,128,0,0,0,0,3,10000,3000,1000
mm_kernel_cpu,1376618,0,1,1,64,0,0,0,0,3,10000,3000,2000
mm_kernel_cpu_collapse,1142099,0,2,1,64,0,0,0,0,3,10000,3000,2000
mm_kernel_gpu_mem,1749001,1,1,79,128,288000000,160000000,160000000,448000000,3,10000,3000,2000
mm_kernel_gpu_mem,273853,1,2,156250,128,288000000,160000000,160000000,448000000,3,10000,3000,2000
mm_kernel_gpu,1705396,1,1,79,128,0,0,0,0,3,10000,3000,2000
mm_kernel_gpu_collapse,215836,1,2,156250,128,0,0,0,0,3,10000,3000,2000
mm_kernel_cpu,1978616,0,1,1,64,0,0,0,0,3,10000,3000,3000
mm_kernel_cpu_collapse,1715801,0,2,1,64,0,0,0,0,3,10000,3000,3000
mm_kernel_gpu_mem,2642607,1,1,79,128,312000000,240000000,240000000,552000000,3,10000,3000,3000
mm_kernel_gpu_mem,410430,1,2,234375,128,312000000,240000000,240000000,552000000,3,10000,3000,3000
mm_kernel_gpu,2580029,1,1,79,128,0,0,0,0,3,10000,3000,3000
mm_kernel_gpu_collapse,338892,1,2,234375,128,0,0,0,0,3,10000,3000,3000
mm_kernel_cpu,3783666,0,1,1,64,0,0,0,0,3,10000,3000,4000
mm_kernel_cpu_collapse,3483166,0,2,1,64,0,0,0,0,3,10000,3000,4000
mm_kernel_gpu_mem,3510381,1,1,79,128,336000000,320000000,320000000,656000000,3,10000,3000,4000
mm_kernel_gpu_mem,558122,1,2,312500,128,336000000,320000000,320000000,656000000,3,10000,3000,4000
mm_kernel_gpu,3423737,1,1,79,128,0,0,0,0,3,10000,3000,4000
mm_kernel_gpu_collapse,448282,1,2,312500,128,0,0,0,0,3,10000,3000,4000
mm_kernel_cpu,2986174,0,1,1,64,0,0,0,0,3,10000,3000,5000
mm_kernel_cpu_collapse,2950031,0,2,1,64,0,0,0,0,3,10000,3000,5000
mm_kernel_gpu_mem,4395318,1,1,79,128,360000000,400000000,400000000,760000000,3,10000,3000,5000
mm_kernel_gpu_mem,716769,1,2,390625,128,360000000,400000000,400000000,760000000,3,10000,3000,5000
mm_kernel_gpu,4266557,1,1,79,128,0,0,0,0,3,10000,3000,5000
mm_kernel_gpu_collapse,582193,1,2,390625,128,0,0,0,0,3,10000,3000,5000
mm_kernel_cpu,3929940,0,1,1,64,0,0,0,0,3,10000,3000,6000
mm_kernel_cpu_collapse,3539026,0,2,1,64,0,0,0,0,3,10000,3000,6000
mm_kernel_gpu_mem,5291414,1,1,79,128,384000000,480000000,480000000,864000000,3,10000,3000,6000
mm_kernel_gpu_mem,902871,1,2,468750,128,384000000,480000000,480000000,864000000,3,10000,3000,6000
mm_kernel_gpu,5136136,1,1,79,128,0,0,0,0,3,10000,3000,6000
mm_kernel_gpu_collapse,700376,1,2,468750,128,0,0,0,0,3,10000,3000,6000
mm_kernel_cpu,4211402,0,1,1,64,0,0,0,0,3,10000,3000,7000
mm_kernel_cpu_collapse,3881292,0,2,1,64,0,0,0,0,3,10000,3000,7000
mm_kernel_gpu_mem,6153689,1,1,79,128,408000000,560000000,560000000,968000000,3,10000,3000,7000
mm_kernel_gpu_mem,1006252,1,2,546875,128,408000000,560000000,560000000,968000000,3,10000,3000,7000
mm_kernel_gpu,5987496,1,1,79,128,0,0,0,0,3,10000,3000,7000
mm_kernel_gpu_collapse,830006,1,2,546875,128,0,0,0,0,3,10000,3000,7000
mm_kernel_cpu,9388074,0,1,1,64,0,0,0,0,3,10000,3000,8000
mm_kernel_cpu_collapse,8797404,0,2,1,64,0,0,0,0,3,10000,3000,8000
mm_kernel_gpu_mem,6990560,1,1,79,128,432000000,640000000,640000000,1072000000,3,10000,3000,8000
mm_kernel_gpu_mem,1086036,1,2,625000,128,432000000,640000000,640000000,1072000000,3,10000,3000,8000
mm_kernel_gpu,6814551,1,1,79,128,0,0,0,0,3,10000,3000,8000
mm_kernel_gpu_collapse,936679,1,2,625000,128,0,0,0,0,3,10000,3000,8000
mm_kernel_cpu,4990755,0,1,1,64,0,0,0,0,3,10000,3000,9000
mm_kernel_cpu_collapse,5022526,0,2,1,64,0,0,0,0,3,10000,3000,9000
mm_kernel_gpu_mem,7863690,1,1,79,128,456000000,720000000,720000000,1176000000,3,10000,3000,9000
mm_kernel_gpu_mem,1296181,1,2,703125,128,456000000,720000000,720000000,1176000000,3,10000,3000,9000
mm_kernel_gpu,7715263,1,1,79,128,0,0,0,0,3,10000,3000,9000
