kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_gpu,3162050,1,1,40,256,8,0,8,0,3,10000,1000,8000
mm_kernel_gpu_collapse,643269,1,2,240,256,8,0,8,0,3,10000,1000,8000
mm_kernel_cpu,5007071,0,1,1,48,0,0,0,0,3,10000,1000,9000
mm_kernel_cpu_collapse,4930046,0,2,1,48,0,0,0,0,3,10000,1000,9000
mm_kernel_gpu_mem,3858825,1,1,40,256,152000008,720000000,720000008,872000000,3,10000,1000,9000
mm_kernel_gpu_collapse_mem,945085,1,2,240,256,152000008,720000000,720000008,872000000,3,10000,1000,9000
mm_kernel_gpu,3483950,1,1,40,256,8,0,8,0,3,10000,1000,9000
mm_kernel_gpu_collapse,778335,1,2,240,256,8,0,8,0,3,10000,1000,9000
mm_kernel_cpu,13568273,0,1,1,48,0,0,0,0,3,10000,2000,10000
mm_kernel_cpu_collapse,12717483,0,2,1,48,0,0,0,0,3,10000,2000,10000
mm_kernel_gpu_mem,7851452,1,1,40,256,320000008,800000000,800000008,1120000000,3,10000,2000,10000
mm_kernel_gpu_collapse_mem,1953570,1,2,240,256,320000008,800000000,800000008,1120000000,3,10000,2000,10000
mm_kernel_gpu,7417750,1,1,40,256,8,0,8,0,3,10000,2000,10000
mm_kernel_gpu_collapse,1765705,1,2,240,256,8,0,8,0,3,10000,2000,10000
mm_kernel_cpu,653001,0,1,1,48,0,0,0,0,3,10000,2000,1000
mm_kernel_cpu_collapse,405448,0,2,1,48,0,0,0,0,3,10000,2000,1000
mm_kernel_gpu_mem,1042502,1,1,40,256,176000008,80000000,80000008,256000000,3,10000,2000,1000
mm_kernel_gpu_collapse_mem,193005,1,2,240,256,176000008,80000000,80000008,256000000,3,10000,2000,1000
mm_kernel_gpu,742757,1,1,40,256,8,0,8,0,3,10000,2000,1000
mm_kernel_gpu_collapse,145996,1,2,240,256,8,0,8,0,3,10000,2000,1000
mm_kernel_cpu,1137089,0,1,1,48,0,0,0,0,3,10000,2000,2000
mm_kernel_cpu_collapse,802523,0,2,1,48,0,0,0,0,3,10000,2000,2000
mm_kernel_gpu_mem,1820527,1,1,40,256,192000008,160000000,160000008,352000000,3,10000,2000,2000
mm_kernel_gpu_collapse_mem,383114,1,2,240,256,192000008,160000000,160000008,352000000,3,10000,2000,2000
mm_kernel_gpu,1482666,1,1,40,256,8,0,8,0,3,10000,2000,2000
mm_kernel_gpu_collapse,317199,1,2,240,256,8,0,8,0,3,10000,2000,2000
mm_kernel_cpu,2783760,0,1,1,48,0,0,0,0,3,10000,2000,3000
mm_kernel_cpu_collapse,1846732,0,2,1,48,0,0,0,0,3,10000,2000,3000
mm_kernel_gpu_mem,2557345,1,1,40,256,208000008,240000000,240000008,448000000,3,10000,2000,3000
mm_kernel_gpu_collapse_mem,575984,1,2,240,256,208000008,240000000,240000008,448000000,3,10000,2000,3000
mm_kernel_gpu,2212970,1,1,40,256,8,0,8,0,3,10000,2000,3000
mm_kernel_gpu_collapse,500421,1,2,240,256,8,0,8,0,3,10000,2000,3000
mm_kernel_cpu,2455840,0,1,1,48,0,0,0,0,3,10000,2000,4000
mm_kernel_cpu_collapse,1636375,0,2,1,48,0,0,0,0,3,10000,2000,4000
mm_kernel_gpu_mem,3339984,1,1,40,256,224000008,320000000,320000008,544000000,3,10000,2000,4000
mm_kernel_gpu_collapse_mem,762515,1,2,240,256,224000008,320000000,320000008,544000000,3,10000,2000,4000
mm_kernel_gpu,2972207,1,1,40,256,8,0,8,0,3,10000,2000,4000
mm_kernel_gpu_collapse,660112,1,2,240,256,8,0,8,0,3,10000,2000,4000
mm_kernel_cpu,2861901,0,1,1,48,0,0,0,0,3,10000,2000,5000
mm_kernel_cpu_collapse,2165710,0,2,1,48,0,0,0,0,3,10000,2000,5000
mm_kernel_gpu_mem,4083351,1,1,40,256,240000008,400000000,400000008,640000000,3,10000,2000,5000
mm_kernel_gpu_collapse_mem,975945,1,2,240,256,240000008,400000000,400000008,640000000,3,10000,2000,5000
mm_kernel_gpu,3747490,1,1,40,256,8,0,8,0,3,10000,2000,5000
mm_kernel_gpu_collapse,855731,1,2,240,256,8,0,8,0,3,10000,2000,5000
mm_kernel_cpu,3717354,0,1,1,48,0,0,0,0,3,10000,2000,6000
mm_kernel_cpu_collapse,2878811,0,2,1,48,0,0,0,0,3,10000,2000,6000
mm_kernel_gpu_mem,4809865,1,1,40,256,256000008,480000000,480000008,736000000,3,10000,2000,6000
mm_kernel_gpu_collapse_mem,1160220,1,2,240,256,256000008,480000000,480000008,736000000,3,10000,2000,6000
mm_kernel_gpu,4411100,1,1,40,256,8,0,8,0,3,10000,2000,6000
mm_kernel_gpu_collapse,1036627,1,2,240,256,8,0,8,0,3,10000,2000,6000
mm_kernel_cpu,6066334,0,1,1,48,0,0,0,0,3,10000,2000,7000
mm_kernel_cpu_collapse,5230998,0,2,1,48,0,0,0,0,3,10000,2000,7000
mm_kernel_gpu_mem,5505292,1,1,40,256,272000008,560000000,560000008,832000000,3,10000,2000,7000
mm_kernel_gpu_collapse_mem,1395300,1,2,240,256,272000008,560000000,560000008,832000000,3,10000,2000,7000
mm_kernel_gpu,5180926,1,1,40,256,8,0,8,0,3,10000,2000,7000
mm_kernel_gpu_collapse,1258963,1,2,240,256,8,0,8,0,3,10000,2000,7000
