kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_gpu_collapse,486975,1,2,65536,128,8,0,8,0,3,10000,1000,3000
mm_kernel_cpu,9336582,0,1,1,40,0,0,0,0,3,10000,1000,4000
mm_kernel_cpu_collapse,9459169,0,2,1,40,0,0,0,0,3,10000,1000,4000
mm_kernel_gpu_mem,2334137,1,1,79,128,112000008,320000000,320000008,432000000,3,10000,1000,4000
mm_kernel_gpu_mem,692891,1,2,65536,128,112000008,320000000,320000008,432000000,3,10000,1000,4000
mm_kernel_gpu,2186624,1,1,79,128,8,0,8,0,3,10000,1000,4000
mm_kernel_gpu_collapse,595265,1,2,65536,128,8,0,8,0,3,10000,1000,4000
mm_kernel_cpu,12123098,0,1,1,40,0,0,0,0,3,10000,1000,5000
mm_kernel_cpu_collapse,12404991,0,2,1,40,0,0,0,0,3,10000,1000,5000
mm_kernel_gpu_mem,2965459,1,1,79,128,120000008,400000000,400000008,520000000,3,10000,1000,5000
mm_kernel_gpu_mem,394012,1,2,65536,128,120000008,400000000,400000008,520000000,3,10000,1000,5000
mm_kernel_gpu,2771111,1,1,79,128,8,0,8,0,3,10000,1000,5000
mm_kernel_gpu_collapse,307333,1,2,65536,128,8,0,8,0,3,10000,1000,5000
mm_kernel_cpu,14195661,0,1,1,40,0,0,0,0,3,10000,1000,6000
mm_kernel_cpu_collapse,15007333,0,2,1,40,0,0,0,0,3,10000,1000,6000
mm_kernel_gpu_mem,3593523,1,1,79,128,128000008,480000000,480000008,608000000,3,10000,1000,6000
mm_kernel_gpu_mem,473300,1,2,65536,128,128000008,480000000,480000008,608000000,3,10000,1000,6000
mm_kernel_gpu,3348201,1,1,79,128,8,0,8,0,3,10000,1000,6000
mm_kernel_gpu_collapse,371041,1,2,65536,128,8,0,8,0,3,10000,1000,6000
mm_kernel_cpu,17480810,0,1,1,40,0,0,0,0,3,10000,1000,7000
mm_kernel_cpu_collapse,18526519,0,2,1,40,0,0,0,0,3,10000,1000,7000
mm_kernel_gpu_mem,4127612,1,1,79,128,136000008,560000000,560000008,696000000,3,10000,1000,7000
mm_kernel_gpu_mem,1343085,1,2,65536,128,136000008,560000000,560000008,696000000,3,10000,1000,7000
mm_kernel_gpu,3920377,1,1,79,128,8,0,8,0,3,10000,1000,7000
mm_kernel_gpu_collapse,438794,1,2,65536,128,8,0,8,0,3,10000,1000,7000
mm_kernel_cpu,20777206,0,1,1,40,0,0,0,0,3,10000,1000,8000
mm_kernel_cpu_collapse,15306858,0,2,1,40,0,0,0,0,3,10000,1000,8000
mm_kernel_gpu_mem,4789444,1,1,79,128,144000008,640000000,640000008,784000000,3,10000,1000,8000
mm_kernel_gpu_mem,1607130,1,2,65536,128,144000008,640000000,640000008,784000000,3,10000,1000,8000
mm_kernel_gpu,4497191,1,1,79,128,8,0,8,0,3,10000,1000,8000
mm_kernel_gpu_collapse,1460763,1,2,65536,128,8,0,8,0,3,10000,1000,8000
mm_kernel_cpu,22124800,0,1,1,40,0,0,0,0,3,10000,1000,9000
mm_kernel_cpu_collapse,21419544,0,2,1,40,0,0,0,0,3,10000,1000,9000
mm_kernel_gpu_mem,5388930,1,1,79,128,152000008,720000000,720000008,872000000,3,10000,1000,9000
