kernel,runtime,gpu,collapse,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
gauss_kernel_cpu,69433,0,1,0,0,0,0,1,1088
gauss_kernel_cpu,610,0,1,0,0,0,0,1,1088
gauss_kernel_cpu,590,0,1,0,0,0,0,1,1088
gauss_kernel_cpu,557,0,1,0,0,0,0,1,1088
gauss_kernel_cpu,565,0,1,0,0,0,0,1,1088
gauss_kernel_cpu,589,0,1,0,0,0,0,1,1088
gauss_kernel_cpu,560,0,1,0,0,0,0,1,1088
gauss_kernel_cpu,551,0,1,0,0,0,0,1,1088
gauss_kernel_cpu,540,0,1,0,0,0,0,1,1088
gauss_kernel_cpu,543,0,1,0,0,0,0,1,1088
gauss_kernel_cpu,532,0,1,0,0,0,0,1,1088
gauss_kernel_cpu,543,0,1,0,0,0,0,1,1088
gauss_kernel_cpu,511,0,1,0,0,0,0,1,1088
gauss_kernel_cpu_collapse,826,0,2,0,0,0,0,1,1088
gauss_kernel_cpu_collapse,801,0,2,0,0,0,0,1,1088
gauss_kernel_cpu_collapse,783,0,2,0,0,0,0,1,1088
gauss_kernel_cpu_collapse,745,0,2,0,0,0,0,1,1088
gauss_kernel_cpu_collapse,741,0,2,0,0,0,0,1,1088
gauss_kernel_cpu_collapse,703,0,2,0,0,0,0,1,1088
gauss_kernel_cpu_collapse,753,0,2,0,0,0,0,1,1088
gauss_kernel_cpu_collapse,685,0,2,0,0,0,0,1,1088
gauss_kernel_cpu_collapse,704,0,2,0,0,0,0,1,1088
gauss_kernel_cpu_collapse,699,0,2,0,0,0,0,1,1088
gauss_kernel_cpu_collapse,744,0,2,0,0,0,0,1,1088
gauss_kernel_cpu_collapse,694,0,2,0,0,0,0,1,1088
gauss_kernel_cpu_collapse,648,0,2,0,0,0,0,1,1088
gauss_kernel_gpu_mem,10861,1,1,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_mem,7737,1,1,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_mem,7624,1,1,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_mem,7624,1,1,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_mem,7589,1,1,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_mem,7587,1,1,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_mem,7563,1,1,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_mem,7571,1,1,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_mem,7587,1,1,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_mem,7556,1,1,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_mem,7570,1,1,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_mem,8030,1,1,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_mem,7559,1,1,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_collapse_mem,10029,1,2,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_collapse_mem,8765,1,2,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_collapse_mem,8631,1,2,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_collapse_mem,8616,1,2,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_collapse_mem,8568,1,2,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_collapse_mem,8604,1,2,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_collapse_mem,8626,1,2,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_collapse_mem,8561,1,2,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_collapse_mem,8553,1,2,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_collapse_mem,8599,1,2,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_collapse_mem,8608,1,2,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_collapse_mem,4140,1,2,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_collapse_mem,3509,1,2,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu_collapse_mem,3588,1,2,9469956,0,9469956,9469952,1,1088
gauss_kernel_gpu,594,1,1,4,0,4,0,1,1088
gauss_kernel_gpu,579,1,1,4,0,4,0,1,1088
gauss_kernel_gpu,580,1,1,4,0,4,0,1,1088
gauss_kernel_gpu,578,1,1,4,0,4,0,1,1088
gauss_kernel_gpu,570,1,1,4,0,4,0,1,1088
gauss_kernel_gpu,580,1,1,4,0,4,0,1,1088
gauss_kernel_gpu,577,1,1,4,0,4,0,1,1088
gauss_kernel_gpu,576,1,1,4,0,4,0,1,1088
gauss_kernel_gpu,578,1,1,4,0,4,0,1,1088
gauss_kernel_gpu,576,1,1,4,0,4,0,1,1088
gauss_kernel_gpu,584,1,1,4,0,4,0,1,1088
gauss_kernel_gpu,584,1,1,4,0,4,0,1,1088
gauss_kernel_gpu,572,1,1,4,0,4,0,1,1088
gauss_kernel_gpu_collapse,1522,1,2,4,0,4,0,1,1088
gauss_kernel_gpu_collapse,1512,1,2,4,0,4,0,1,1088
gauss_kernel_gpu_collapse,1519,1,2,4,0,4,0,1,1088
gauss_kernel_gpu_collapse,1513,1,2,4,0,4,0,1,1088
gauss_kernel_gpu_collapse,1518,1,2,4,0,4,0,1,1088
gauss_kernel_gpu_collapse,1521,1,2,4,0,4,0,1,1088
gauss_kernel_gpu_collapse,1509,1,2,4,0,4,0,1,1088
gauss_kernel_gpu_collapse,1524,1,2,4,0,4,0,1,1088
gauss_kernel_gpu_collapse,1520,1,2,4,0,4,0,1,1088
gauss_kernel_gpu_collapse,1511,1,2,4,0,4,0,1,1088
gauss_kernel_gpu_collapse,1504,1,2,4,0,4,0,1,1088
gauss_kernel_gpu_collapse,1506,1,2,4,0,4,0,1,1088
gauss_kernel_gpu_collapse,1510,1,2,4,0,4,0,1,1088
gauss_kernel_gpu_collapse,1512,1,2,4,0,4,0,1,1088
gauss_kernel_cpu,69771,0,1,0,0,0,0,1,1120
gauss_kernel_cpu,631,0,1,0,0,0,0,1,1120
gauss_kernel_cpu,638,0,1,0,0,0,0,1,1120
gauss_kernel_cpu,616,0,1,0,0,0,0,1,1120
gauss_kernel_cpu,620,0,1,0,0,0,0,1,1120
gauss_kernel_cpu,589,0,1,0,0,0,0,1,1120
gauss_kernel_cpu,578,0,1,0,0,0,0,1,1120
gauss_kernel_cpu,595,0,1,0,0,0,0,1,1120
gauss_kernel_cpu,577,0,1,0,0,0,0,1,1120
gauss_kernel_cpu,542,0,1,0,0,0,0,1,1120
gauss_kernel_cpu,559,0,1,0,0,0,0,1,1120
gauss_kernel_cpu,536,0,1,0,0,0,0,1,1120
gauss_kernel_cpu,525,0,1,0,0,0,0,1,1120
gauss_kernel_cpu_collapse,819,0,2,0,0,0,0,1,1120
gauss_kernel_cpu_collapse,841,0,2,0,0,0,0,1,1120
gauss_kernel_cpu_collapse,821,0,2,0,0,0,0,1,1120
gauss_kernel_cpu_collapse,814,0,2,0,0,0,0,1,1120
gauss_kernel_cpu_collapse,727,0,2,0,0,0,0,1,1120
gauss_kernel_cpu_collapse,726,0,2,0,0,0,0,1,1120
gauss_kernel_cpu_collapse,709,0,2,0,0,0,0,1,1120
gauss_kernel_cpu_collapse,717,0,2,0,0,0,0,1,1120
gauss_kernel_cpu_collapse,714,0,2,0,0,0,0,1,1120
gauss_kernel_cpu_collapse,715,0,2,0,0,0,0,1,1120
gauss_kernel_cpu_collapse,724,0,2,0,0,0,0,1,1120
gauss_kernel_cpu_collapse,683,0,2,0,0,0,0,1,1120
gauss_kernel_cpu_collapse,684,0,2,0,0,0,0,1,1120
gauss_kernel_gpu_mem,11386,1,1,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_mem,8152,1,1,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_mem,8115,1,1,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_mem,8089,1,1,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_mem,8076,1,1,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_mem,8060,1,1,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_mem,8455,1,1,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_mem,8467,1,1,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_mem,9443,1,1,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_mem,8843,1,1,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_mem,8074,1,1,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_mem,8044,1,1,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_mem,8050,1,1,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_collapse_mem,10676,1,2,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_collapse_mem,9178,1,2,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_collapse_mem,9050,1,2,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_collapse_mem,8997,1,2,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_collapse_mem,8990,1,2,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_collapse_mem,8978,1,2,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_collapse_mem,8975,1,2,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_collapse_mem,10748,1,2,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_collapse_mem,9036,1,2,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_collapse_mem,6499,1,2,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_collapse_mem,3680,1,2,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_collapse_mem,3831,1,2,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_collapse_mem,3689,1,2,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu_collapse_mem,3666,1,2,10035204,0,10035204,10035200,1,1120
gauss_kernel_gpu,626,1,1,4,0,4,0,1,1120
gauss_kernel_gpu,614,1,1,4,0,4,0,1,1120
gauss_kernel_gpu,609,1,1,4,0,4,0,1,1120
gauss_kernel_gpu,606,1,1,4,0,4,0,1,1120
gauss_kernel_gpu,606,1,1,4,0,4,0,1,1120
gauss_kernel_gpu,605,1,1,4,0,4,0,1,1120
gauss_kernel_gpu,605,1,1,4,0,4,0,1,1120
gauss_kernel_gpu,606,1,1,4,0,4,0,1,1120
gauss_kernel_gpu,608,1,1,4,0,4,0,1,1120
gauss_kernel_gpu,605,1,1,4,0,4,0,1,1120
gauss_kernel_gpu,603,1,1,4,0,4,0,1,1120
gauss_kernel_gpu,604,1,1,4,0,4,0,1,1120
gauss_kernel_gpu,604,1,1,4,0,4,0,1,1120
gauss_kernel_gpu_collapse,1635,1,2,4,0,4,0,1,1120
gauss_kernel_gpu_collapse,1613,1,2,4,0,4,0,1,1120
gauss_kernel_gpu_collapse,1598,1,2,4,0,4,0,1,1120
gauss_kernel_gpu_collapse,1601,1,2,4,0,4,0,1,1120
gauss_kernel_gpu_collapse,1592,1,2,4,0,4,0,1,1120
gauss_kernel_gpu_collapse,1596,1,2,4,0,4,0,1,1120
gauss_kernel_gpu_collapse,1612,1,2,4,0,4,0,1,1120
gauss_kernel_gpu_collapse,1604,1,2,4,0,4,0,1,1120
gauss_kernel_gpu_collapse,1602,1,2,4,0,4,0,1,1120
gauss_kernel_gpu_collapse,1599,1,2,4,0,4,0,1,1120
gauss_kernel_gpu_collapse,1597,1,2,4,0,4,0,1,1120
gauss_kernel_gpu_collapse,1610,1,2,4,0,4,0,1,1120
gauss_kernel_gpu_collapse,1606,1,2,4,0,4,0,1,1120
gauss_kernel_gpu_collapse,1613,1,2,4,0,4,0,1,1120
gauss_kernel_cpu,70210,0,1,0,0,0,0,1,1152
gauss_kernel_cpu,712,0,1,0,0,0,0,1,1152
gauss_kernel_cpu,660,0,1,0,0,0,0,1,1152
gauss_kernel_cpu,655,0,1,0,0,0,0,1,1152
gauss_kernel_cpu,634,0,1,0,0,0,0,1,1152
gauss_kernel_cpu,593,0,1,0,0,0,0,1,1152
gauss_kernel_cpu,609,0,1,0,0,0,0,1,1152
gauss_kernel_cpu,642,0,1,0,0,0,0,1,1152
gauss_kernel_cpu,606,0,1,0,0,0,0,1,1152
gauss_kernel_cpu,610,0,1,0,0,0,0,1,1152
gauss_kernel_cpu,586,0,1,0,0,0,0,1,1152
gauss_kernel_cpu,556,0,1,0,0,0,0,1,1152
gauss_kernel_cpu,594,0,1,0,0,0,0,1,1152
gauss_kernel_cpu,560,0,1,0,0,0,0,1,1152
gauss_kernel_cpu_collapse,920,0,2,0,0,0,0,1,1152
gauss_kernel_cpu_collapse,871,0,2,0,0,0,0,1,1152
gauss_kernel_cpu_collapse,875,0,2,0,0,0,0,1,1152
gauss_kernel_cpu_collapse,833,0,2,0,0,0,0,1,1152
gauss_kernel_cpu_collapse,793,0,2,0,0,0,0,1,1152
gauss_kernel_cpu_collapse,782,0,2,0,0,0,0,1,1152
gauss_kernel_cpu_collapse,795,0,2,0,0,0,0,1,1152
gauss_kernel_cpu_collapse,777,0,2,0,0,0,0,1,1152
gauss_kernel_cpu_collapse,753,0,2,0,0,0,0,1,1152
gauss_kernel_cpu_collapse,745,0,2,0,0,0,0,1,1152
gauss_kernel_cpu_collapse,724,0,2,0,0,0,0,1,1152
gauss_kernel_cpu_collapse,722,0,2,0,0,0,0,1,1152
gauss_kernel_cpu_collapse,725,0,2,0,0,0,0,1,1152
gauss_kernel_cpu_collapse,719,0,2,0,0,0,0,1,1152
gauss_kernel_gpu_mem,11792,1,1,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_mem,8611,1,1,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_mem,8546,1,1,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_mem,8490,1,1,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_mem,8451,1,1,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_mem,8466,1,1,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_mem,8430,1,1,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_mem,8427,1,1,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_mem,8461,1,1,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_mem,8418,1,1,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_mem,8433,1,1,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_mem,8403,1,1,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_mem,8416,1,1,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_mem,8431,1,1,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_collapse_mem,11312,1,2,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_collapse_mem,9722,1,2,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_collapse_mem,9622,1,2,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_collapse_mem,9586,1,2,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_collapse_mem,9596,1,2,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_collapse_mem,9890,1,2,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_collapse_mem,9551,1,2,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_collapse_mem,9043,1,2,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_collapse_mem,4032,1,2,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_collapse_mem,3884,1,2,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_collapse_mem,3973,1,2,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_collapse_mem,3885,1,2,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_collapse_mem,3879,1,2,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu_collapse_mem,3964,1,2,10616836,0,10616836,10616832,1,1152
gauss_kernel_gpu,613,1,1,4,0,4,0,1,1152
gauss_kernel_gpu,599,1,1,4,0,4,0,1,1152
gauss_kernel_gpu,597,1,1,4,0,4,0,1,1152
gauss_kernel_gpu,596,1,1,4,0,4,0,1,1152
gauss_kernel_gpu,597,1,1,4,0,4,0,1,1152
gauss_kernel_gpu,605,1,1,4,0,4,0,1,1152
